"","x"
"914",8.284481478746e-06
"915",8.034869949082e-06
"916",1.0117982193718e-05
"917",5.77047652631e-06
"918",2.5293988203196e-05
"919",1.4622809331816e-05
"920",1.0714262945293e-05
"921",1.2662120237948e-05
"922",1.7867866547281e-05
"923",1.5599498520797e-05
"924",5.746529305465e-06
"925",1.0791957334286e-05
"926",3.5242447467867e-05
"927",4.2532783934959e-05
"928",3.2824366756962e-05
"929",4.9024110359728e-05
"930",1.2621283569454e-05
"931",3.8382868866905e-05
"932",6.988648808689e-05
"933",4.8843342941023e-05
"934",5.287124679525e-05
"935",5.2582091671072e-05
"936",2.6431278331956e-05
"937",2.3636665755298e-05
"938",1.9798216312431e-05
"939",3.3077460930256e-05
"940",1.7786472854831e-05
"941",1.8512893371011e-05
"942",2.8450203499786e-05
"943",2.1745250975668e-05
"944",2.571078628188e-05
"945",8.119960155519e-06
"946",1.4363936253944e-05
"947",2.3518051858473e-05
"948",3.9455385129826e-05
"949",2.2015046146481e-05
"950",8.383703650339e-06
"951",1.22059936646e-05
"952",2.3514914440882e-05
"953",2.0992018459272e-05
"954",4.0502900248965e-05
"955",1.4242764689506e-05
"956",5.0726118207383e-05
"957",3.7267131540008e-05
"958",3.0369989739892e-05
"959",3.3886277080224e-05
"960",2.7125095247371e-05
"961",3.2132199625872e-05
"962",5.5428133693672e-05
"963",4.7246937414303e-05
"964",1.9675503346225e-05
"965",3.1832939352124e-05
"966",2.1787556475729e-05
"967",2.0299221058077e-05
"968",4.2713780869774e-05
"969",4.1946557252583e-05
"970",4.6641471990056e-05
"971",3.2810976694324e-05
"972",3.7666113772191e-05
"973",2.4350172038142e-05
"974",5.0372013060163e-05
"975",2.7709844387614e-05
"976",2.9644946987329e-05
"977",7.4178471110308e-05
"978",4.052156203927e-05
"979",2.3149102352982e-05
"980",3.3807659759035e-05
"981",2.0703453188454e-05
"982",4.178454823806e-05
"983",5.5351471988856e-05
"984",2.3528655087795e-05
"985",1.7451891194533e-05
"986",1.6325140872528e-05
"987",1.6539280804378e-05
"988",2.3875922643474e-05
"989",1.0261324211727e-05
"990",1.1944128859921e-05
"991",1.8117713996935e-05
"992",6.6892991889088e-05
"993",4.3958850742719e-05
"994",6.0285208596486e-05
"995",2.1861792045014e-05
"996",1.5766764246835e-05
"997",3.4085197554139e-05
"998",4.7068775388817e-05
"999",4.694344090626e-05
"1000",2.1297878009158e-05
"1001",2.42803754763e-05
"1002",1.7765602505367e-05
"1003",2.1661874361221e-05
"1004",1.651852355798e-05
"1005",1.5244526928084e-05
"1006",2.2307097495758e-05
"1007",1.4812854549941e-05
"1008",2.4124458379822e-05
"1009",3.230382815788e-05
"1010",2.2127386950196e-05
"1011",1.8370414029298e-05
"1012",1.3531646344897e-05
"1013",1.6830174298368e-05
"1014",1.7456579097693e-05
"1015",2.648236902202e-05
"1016",1.4353975039905e-05
"1017",2.573697217865e-05
"1018",2.301915375085e-05
"1019",3.6028527194772e-05
